PIVlab, ASCII chart output - 03-Feb-2026
FRAME: 74, filenames: MEAN of frames 1:73 & MEAN of frames 1:73, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
405,91,NaN,NaN,0
405,107,NaN,NaN,0
405,123,NaN,NaN,0
405,139,NaN,NaN,0
405,155,NaN,NaN,0
405,171,NaN,NaN,0
405,187,NaN,NaN,0
405,203,NaN,NaN,0
405,219,NaN,NaN,0
405,235,NaN,NaN,0
405,251,NaN,NaN,0
405,267,NaN,NaN,0
405,283,NaN,NaN,0
405,299,NaN,NaN,0
405,315,NaN,NaN,0
405,331,NaN,NaN,0
405,347,NaN,NaN,0
405,363,NaN,NaN,0
405,379,NaN,NaN,0
405,395,NaN,NaN,0
405,411,NaN,NaN,0
405,427,NaN,NaN,0
405,443,NaN,NaN,0
405,459,NaN,NaN,0
405,475,NaN,NaN,0
405,491,NaN,NaN,0
405,507,NaN,NaN,0
405,523,NaN,NaN,0
405,539,NaN,NaN,0
405,555,NaN,NaN,0
405,571,NaN,NaN,0
405,587,NaN,NaN,0
405,603,NaN,NaN,0
405,619,NaN,NaN,0
405,635,NaN,NaN,0
405,651,NaN,NaN,0
405,667,NaN,NaN,0
405,683,NaN,NaN,0
405,699,NaN,NaN,0
405,715,NaN,NaN,0
405,731,NaN,NaN,0
405,747,NaN,NaN,0
405,763,NaN,NaN,0
421,91,NaN,NaN,0
421,107,NaN,NaN,0
421,123,NaN,NaN,0
421,139,NaN,NaN,0
421,155,NaN,NaN,0
421,171,NaN,NaN,0
421,187,NaN,NaN,0
421,203,NaN,NaN,0
421,219,NaN,NaN,0
421,235,NaN,NaN,0
421,251,NaN,NaN,0
421,267,NaN,NaN,0
421,283,NaN,NaN,0
421,299,NaN,NaN,0
421,315,-3.698714733,13.56323624,2
421,331,-4.388103008,12.769104,1
421,347,-0.4767791927,10.71046352,1
421,363,-1.378141761,15.86331463,1
421,379,NaN,NaN,2
421,395,0.8100064397,13.30285263,1
421,411,1.124697685,15.09924889,1
421,427,0.8177002668,16.11459351,1
421,443,1.482703805,13.50257397,1
421,459,1.688743353,13.02149105,1
421,475,1.627864003,10.55239296,1
421,491,1.518925786,9.014365196,1
421,507,NaN,NaN,0
421,523,NaN,NaN,0
421,539,NaN,NaN,0
421,555,NaN,NaN,0
421,571,NaN,NaN,0
421,587,NaN,NaN,0
421,603,NaN,NaN,0
421,619,NaN,NaN,0
421,635,NaN,NaN,0
421,651,NaN,NaN,0
421,667,NaN,NaN,0
421,683,NaN,NaN,0
421,699,NaN,NaN,0
421,715,NaN,NaN,0
421,731,NaN,NaN,0
421,747,NaN,NaN,0
421,763,NaN,NaN,0
437,91,NaN,NaN,0
437,107,NaN,NaN,0
437,123,NaN,NaN,0
437,139,NaN,NaN,0
437,155,NaN,NaN,0
437,171,NaN,NaN,0
437,187,NaN,NaN,0
437,203,NaN,NaN,0
437,219,NaN,NaN,0
437,235,NaN,NaN,0
437,251,NaN,NaN,0
437,267,-2.961045265,5.952335835,1
437,283,NaN,NaN,2
437,299,NaN,NaN,2
437,315,NaN,NaN,2
437,331,-1.904082894,11.76942635,1
437,347,-1.472240806,12.25464249,1
437,363,-1.158253908,12.83492374,1
437,379,-0.9681817293,12.64209843,1
437,395,-0.08581493795,15.11716652,1
437,411,0.6239621639,14.15927029,1
437,427,0.8960343599,14.11479664,1
437,443,1.088377118,14.01874638,1
437,459,1.547554255,12.49498653,1
437,475,2.284631491,11.97020721,1
437,491,3.397351742,10.00622368,1
437,507,3.439642668,11.35586834,1
437,523,3.496856451,13.3863554,1
437,539,4.67455101,8.505963326,1
437,555,3.178821802,7.915502548,1
437,571,NaN,NaN,0
437,587,NaN,NaN,0
437,603,NaN,NaN,0
437,619,NaN,NaN,0
437,635,NaN,NaN,0
